site,sub.site,planting.date,sample.date,sample.season,sample.point,transect,start.meter,diversity.treatment,no.sites,identity,quadrat,present,shoot.id,shoot.density,field.notes,extraction.date,plate.id,well.id,leaf.area.sampled,mass.mg,Cq.mean,Cq.std.dev,copy.no,copy.no.per.extraction,copy.no.per.cell,cells.per.uL,cells.per.extraction,cell.per.mg,cells.present,cells.absent,qPCR.trial.ID,qPCR.run,qPCR.notes,leaf.length,leaf.area,lesion.area,lesion.pc,no.lesions,lesions.present,lesions.absent,visual.scoring.notes
middleground,ILFW,spring.2017,10.22.18,fall,18,south,28,mono,1,aquavitae,1,1,D,91,,11.6.18,MGD_P1,2F,M,3.08,31.38,0.135,402.5194991,40251.94991,1392.846775,0.288990509,28.89905095,9.38,1,0,T1,1,,48.514,20.15,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,1,1,E,41,,11.6.18,MGD_P1,12C,M,2.69,30.54,0.073,571.4028088,57140.28088,1553.546466,0.367805419,36.78054188,13.67,1,0,T3,1,,33.442,11.061,0.588,5.315975047,7,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,6,1,B,44,,11.6.18,MGD_P1,4C,M,3.66,30.15,0.141,920.0388956,92003.88956,1392.846775,0.660545662,66.05456624,18.05,1,0,T1,1,,65.899,28.992,9.164,31.60871965,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,14,poly,5,poly5,3,1,B,4,,11.6.18,MGD_P1,10F,M,3.17,29.43,0.113,1225.701147,122570.1147,1553.546466,0.788969737,78.89697368,24.89,1,0,T3,1,,26.207,9.357,0.661,7.064229988,2,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,5,1,C,7,,11.6.18,MGD_P1,6C,M,2.94,29.37,0.176,1358.615975,135861.5975,1839.610348,0.738534645,73.8534645,25.12,1,0,T2,1,,71.749,36.658,0.126,0.343717606,6,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,5,1,B,20,,11.6.18,MGD_P1,3F,M,3.14,29.85,0.21,1125.568323,112556.8323,1392.846775,0.80810635,80.81063498,25.74,1,0,T1,1,,62.387,28.668,3.838,13.38774941,13,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,1,1,C,95,,11.14.18,MGD_P2,3A,M,2.72,29.45,0.083,1123.833063,112383.3063,1356.62826,0.828401631,82.84016305,30.46,1,0,T4,1,,25.916,11.555,0.197,1.704889658,4,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,3,1,E,40,,11.14.18,MGD_P2,2A,M,3.23,28.93,0.03,1583.639257,158363.9257,1356.62826,1.16733471,116.733471,36.14,1,0,T4,1,,59.3,25.042,0.264,1.054228895,6,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,28,mono,1,aquavitae,1,1,B,91,,11.6.18,MGD_P1,2D,M,2.31,29.71,0.028,1236.618797,123661.8797,1392.846775,0.887835489,88.78354885,38.43,1,0,T1,1,,63.084,27.83,1.389,4.991016888,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,3,1,C,59,,11.14.18,MGD_P2,7F,M,2.44,28.58,0.053,1885.166225,188516.6225,1587.599362,1.187431962,118.7431962,48.67,1,0,T5,1,,22.951,6.883,1.954,28.38878396,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,7,mono,1,aquavitae,5,1,A,77,,11.6.18,MGD_P1,1F,M/B,2.95,28.99,0.071,2006.28886,200628.886,1392.846775,1.440423237,144.0423237,48.83,1,0,T1,1,,41.699,16.658,0.037,0.2221155,1,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,6,1,C,44,,11.6.18,MGD_P1,4D,M,3.61,28.46,0.164,2864.790182,286479.0182,1392.846775,2.056787748,205.6787748,56.97,1,0,T1,1,,39.516,12.123,0.301,2.482883775,5,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,21,poly,3,poly3,2,1,D,26,,11.6.18,MGD_P1,9F,M,2.74,28.21,0.124,2993.577295,299357.7295,1839.610348,1.627288789,162.7288789,59.39,1,0,T2,1,,19.699,7.774,4.628,59.53177258,1,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,6,1,C,45,,11.14.18,MGD_P2,7A,M,3.34,27.72,0.254,3356.853599,335685.3599,1587.599362,2.114421106,211.4421106,63.31,1,0,T5,1,,34.66,13.3,1.84,13.83458647,4,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,28,mono,1,nahant,5,1,E,37,,11.6.18,MGD_P1,5H,NA,3.02,27.84,0.069,3851.461444,385146.1444,1839.610348,2.09362893,209.362893,69.33,1,0,T2,1,,60.121,23.448,2.469,10.5296827,17,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,6,1,B,53,,11.14.18,MGD_P2,1A,M,2.73,28.03,0.021,2867.226786,286722.6786,1356.62826,2.11349481,211.349481,77.42,1,0,T4,1,,44.893,14.279,2.035,14.2516983,14,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,6,1,D,44,,11.6.18,MGD_P1,4E,M,3.45,27.94,0.181,4063.247919,406324.7919,1392.846775,2.917225349,291.7225349,84.56,1,0,T1,1,,53.587,20.675,0.22,1.064087062,4,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,14,poly,5,poly5,1,1,A,50,,11.14.18,MGD_P2,5C,M,3.81,27.13,0.234,5191.200842,519120.0842,1356.62826,3.826546295,382.6546295,100.43,1,0,T4,1,,46.709,20.716,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,28,mono,1,aquavitae,2,1,A,79,,11.6.18,MGD_P1,2H,M,2.96,27.9,0.139,4173.964441,417396.4441,1392.846775,2.996714726,299.6714726,101.24,1,0,T1,1,,50.216,19.947,3.526,17.67684364,9,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,north,35,poly,3,poly3,5,1,E,57,,11.14.18,MGD_P2,5B,M,3.71,27.06,0.167,5436.500004,543650.0004,1356.62826,4.007361608,400.7361608,108.02,1,0,T4,1,,32.887,11.477,0.779,6.78748802,6,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,14,poly,5,poly5,1,1,E,50,,11.14.18,MGD_P2,5G,M,2.95,27.03,0.11,5545.145152,554514.5152,1587.599362,3.492786206,349.2786206,118.4,1,0,T5,1,,63.25,23.854,4.927,20.6548168,7,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,21,poly,3,poly3,3,1,C,24,,11.14.18,MGD_P2,4C,M,3.21,27.04,0.054,5508.690976,550869.0976,1356.62826,4.060575132,406.0575132,126.5,1,0,T4,1,,42.682,15.527,1.002,6.45327494,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,6,1,D,53,,11.14.18,MGD_P2,1C,M,2.84,27.2,0.041,4956.96977,495696.977,1356.62826,3.653889512,365.3889512,128.66,1,0,T4,1,,20.965,7.838,3.495,44.59045675,1,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,14,poly,5,poly5,5,1,D,14,,11.14.18,MGD_P2,6E,M/B,3.68,26.51,0.093,7559.559741,755955.9741,1587.599362,4.761629364,476.1629364,129.39,1,0,T5,1,,34.024,12.371,5.84,47.20717808,5,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,5,1,E,20,,11.6.18,MGD_P1,4A,M/B,2.56,27.52,0.098,5388.467473,538846.7473,1392.846775,3.868672111,386.8672111,151.12,1,0,T1,1,,59.551,27.46,5.795,21.10342316,5,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,28,mono,1,aquavitae,2,1,C,79,,11.6.18,MGD_P1,3B,M,2.78,27.35,0.013,6040.679783,604067.9783,1392.846775,4.336930589,433.6930589,156,1,0,T1,1,,63.496,24.056,8.437,35.07233123,7,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,21,poly,3,poly3,3,1,E,24,,11.14.18,MGD_P2,4E,M,2.95,26.71,0.222,6848.212034,684821.2034,1356.62826,5.047965045,504.7965045,171.12,1,0,T4,1,,51.12,19.446,7.206,37.05646405,5,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,28,mono,1,aquavitae,1,1,C,91,,11.6.18,MGD_P1,2E,M,3.7,26.23,0.061,12823.23688,1282323.688,1392.846775,9.206495008,920.6495008,248.82,1,0,T1,1,,42.47,18.285,1.298,7.098714794,5,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,0,poly,3,poly3,3,1,E,38,,11.14.18,MGD_P2,3H,NA,2.92,25.85,0.1,12076.05132,1207605.132,1356.62826,8.901518326,890.1518326,304.85,1,0,T4,1,,61.842,23.125,18.668,80.72648649,1,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,3,1,E,59,,11.14.18,MGD_P2,7H,M,3.25,25.19,0.008,18327.86546,1832786.546,1587.599362,11.54438953,1154.438953,355.21,1,0,T5,1,,44.07,14.762,0.717,4.857065438,5,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,3,1,B,12,,11.14.18,MGD_P2,2C,M,2.79,25.6,0.164,14240.90759,1424090.759,1356.62826,10.49728066,1049.728066,376.25,1,0,T4,1,,32.901,13.568,3.284,24.20400943,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,21,poly,3,poly3,3,1,B,24,,11.14.18,MGD_P2,4B,M,3.03,24.79,0.111,24297.5719,2429757.19,1356.62826,17.91026519,1791.026519,591.1,1,0,T4,1,,37.244,13.381,0.339,2.533442941,7,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,3,1,A,12,,11.14.18,MGD_P2,2B,M,3.2,0,0,0,0,1587.599362,0,0,0,0,1,T4&T5,1,Only 1 well flouresced; rerun,18.795,5.48,0.035,0.638686131,1,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,3,1,C,12,,11.14.18,MGD_P2,2D,M,2.49,0,0,0,0,1356.62826,0,0,0,0,1,T4,1,,39.733,14.533,0.64,4.403770729,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,3,1,E,12,,11.14.18,MGD_P2,2F,M,3.55,0,0,0,0,1356.62826,0,0,0,0,1,T4,1,,37.22,15.086,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,5,1,A,34,,11.6.18,MGD_P1,7D,M,3.89,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,33.283,14.003,0.911,6.505748768,4,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,5,1,B,34,,11.6.18,MGD_P1,7E,M,2.86,0,0,0,0,1587.599362,0,0,0,0,1,T2&T5,1,Only 1 well flouresced; rerun,37.364,14.174,0.099,0.698461973,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,5,1,C,34,,11.6.18,MGD_P1,7F,M,2.45,0,0,0,0,1458.645035,0,0,0,0,1,T2&T5&T6,1,Cq diff>1; rerun- Cq diff>1; rerun,35.76,11.335,1.412,12.45699162,9,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,5,1,D,34,,11.6.18,MGD_P1,7G,M,3.22,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,43.37,17.296,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,1,1,A,95,,11.14.18,MGD_P2,2G,M,3.31,0,0,0,0,1587.599362,0,0,0,0,1,T4&T5,1,Only 1 well flouresced; rerun,49.689,18.898,0.11,0.582072177,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,3,1,A,77,,11.6.18,MGD_P1,8A,M,3.31,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,45.5,15.987,3.569,22.32438857,6,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,3,1,D,77,,11.6.18,MGD_P1,8D,M,3.58,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,28.015,7.622,1.186,15.56022041,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,3,1,E,77,,11.6.18,MGD_P1,8E,M,3.63,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,46.437,20.12,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,5,1,A,56,,11.6.18,MGD_P1,11B,M,3.13,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,38.413,13.996,0.232,1.657616462,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,5,1,B,56,,11.6.18,MGD_P1,11C,M,2.54,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,24.004,6.454,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,5,1,C,56,,11.6.18,MGD_P1,11D,NA,3.6,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,21.783,6.459,0.202,3.127419105,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,5,1,D,56,,11.6.18,MGD_P1,11E,M,3.5,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,17.147,3.836,0.044,1.147028154,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,5,1,E,56,,11.6.18,MGD_P1,11F,M,3.18,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,16.602,3.783,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,6,1,A,45,,11.14.18,MGD_P2,6G,M,3.52,0,0,0,0,1458.645035,0,0,0,0,1,T5&T6,1,Only 1 well flouresced; rerun,41.021,15.935,1.091,6.846564167,5,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,5,1,A,7,,11.6.18,MGD_P1,6A,M,3.7,0,0,0,0,1587.599362,0,0,0,0,1,T2&T5,1,Only 1 well flouresced; rerun,67.66,27.909,0.166,0.594790211,4,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,5,1,B,7,,11.6.18,MGD_P1,6B,M,3.47,0,0,0,0,1587.599362,0,0,0,0,1,T2&T5,1,Only 1 well flouresced; rerun,54.577,25.687,0.562,2.187877136,5,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,5,1,D,7,,11.6.18,MGD_P1,6D,M,3.12,0,0,0,0,1587.599362,0,0,0,0,1,T2&T5,1,Cq diff>1; rerun,33.556,9.802,0.153,1.560905938,4,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,2,1,A,0,,11.6.18,MGD_P1,6G,M,2.84,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,52.1,23.091,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,2,1,B,0,,11.6.18,MGD_P1,6H,M,3.89,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,65.424,30.495,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,2,1,C,0,,11.6.18,MGD_P1,7A,M,2.31,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,42.871,16.332,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,2,1,D,0,,11.6.18,MGD_P1,7B,M,3.08,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,41.964,17.123,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,2,1,E,0,,11.6.18,MGD_P1,7C,M,3.27,0,0,0,0,1839.610348,0,0,0,0,1,T2,1,,45.554,22.83,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,3,1,A,40,,11.14.18,MGD_P2,1E,M,2.48,0,0,0,0,1356.62826,0,0,0,0,1,T4,1,,66.042,23.06,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,3,1,C,40,,11.14.18,MGD_P2,1G,M,3.95,0,0,0,0,1356.62826,0,0,0,0,1,T4,1,,62.444,31.201,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,5,1,A,20,,11.6.18,MGD_P1,3E,M,3.82,0,0,0,0,1392.846775,0,0,0,0,1,T1,1,,67.953,36.57,4.115,11.25239267,15,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,5,1,C,20,,11.6.18,MGD_P1,3G,M,3.56,0,0,0,0,1392.846775,0,0,0,0,1,T1,1,,43.829,15.565,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,5,1,D,20,,11.6.18,MGD_P1,3H,M,2.96,0,0,0,0,1553.546466,0,0,0,0,1,T1&T3,1,Only 1 well flouresced; rerun,41.894,15.14,0.144,0.951122853,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,6,1,E,44,,11.6.18,MGD_P1,4F,M,3.17,0,0,0,0,1392.846775,0,0,0,0,1,T1,1,,61.554,26.332,0.445,1.689958985,4,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,1,1,A,41,,11.6.18,MGD_P1,11G,M,2.67,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,33.389,9.631,0.047,0.488007476,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,1,1,B,41,,11.6.18,MGD_P1,11H,M,2.55,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,62.959,28.885,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,1,1,C,41,,11.6.18,MGD_P1,12A,M,2.91,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,37.248,11.819,1.821,15.40739487,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,1,1,D,41,,11.6.18,MGD_P1,12B,M/T,2.8,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,48.089,17.852,0.254,1.422809769,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,3,1,A,59,,11.14.18,MGD_P2,7D,M,3.04,0,0,0,0,1587.599362,0,0,0,0,1,T5,1,,52.981,19.48,0.11,0.564681725,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,3,1,B,59,,11.14.18,MGD_P2,7E,M,3.22,0,0,0,0,1458.645035,0,0,0,0,1,T5&T6,1,Only 1 well flouresced; rerun,59.402,26.122,0.134,0.512977567,1,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,4,1,A,1,,11.6.18,MGD_P1,12D,M,3.56,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,9.844,1.577,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,4,1,B,1,,11.6.18,MGD_P1,12E,M,3.08,0,0,0,0,1553.546466,0,0,0,0,1,T3,1,,14.472,2.609,0.01,0.383288616,1,1,0,
